year,reach,period,LifeStage,mortality,encounters
2023,Lower (below Dalles),45,jack,0,0
2023,Upper (above Dalles),45,jack,0,0
2023,Lower (below Dalles),46,jack,0,0
2023,Upper (above Dalles),46,jack,0,0
2023,Lower (below Dalles),47,jack,0,0
2023,Upper (above Dalles),47,jack,0,0
2023,Lower (below Dalles),48,jack,0,0
2023,Upper (above Dalles),48,jack,0,0
2025,Lower (below Dalles),32,adult,0.3776331957,3.776331957
2025,Upper (above Dalles),32,adult,0,0
2025,Lower (below Dalles),33,adult,2.5132325287,25.132325287
2025,Upper (above Dalles),33,adult,0,0
2025,Lower (below Dalles),34,adult,1.9303073676,19.303073676
2025,Upper (above Dalles),34,adult,0,0
2025,Lower (below Dalles),35,adult,2.9710388321,29.710388321
2025,Upper (above Dalles),35,adult,0,0
2025,Lower (below Dalles),36,adult,1.9466026543000001,19.466026542999998
2025,Upper (above Dalles),36,adult,0,0
2025,Lower (below Dalles),37,adult,2.7039580177,27.039580176999998
2025,Upper (above Dalles),37,adult,1.9657243826,19.657243826
2025,Lower (below Dalles),38,adult,2.817194583,28.17194583
2025,Upper (above Dalles),38,adult,2.2962145436,22.962145436
2025,Lower (below Dalles),39,adult,1.7113773025,17.113773025
2025,Upper (above Dalles),39,adult,2.1221480344,21.221480344
2025,Lower (below Dalles),40,adult,1.4539314526,14.539314526
2025,Upper (above Dalles),40,adult,1.8900180409,18.900180409
2025,Lower (below Dalles),41,adult,1.0846662113,10.846662112999999
2025,Upper (above Dalles),41,adult,1.5114153894,15.114153894
2025,Lower (below Dalles),42,adult,0.6527548655000001,6.527548655
2025,Upper (above Dalles),42,adult,1.1768467944,11.768467944
2025,Lower (below Dalles),43,adult,0.20351440240000002,2.035144024
2025,Upper (above Dalles),43,adult,0.49347506630000004,4.934750663
2025,Lower (below Dalles),44,adult,0.4211789178,4.211789178
2025,Upper (above Dalles),44,adult,0.8362123965,8.362123965
2025,Lower (below Dalles),45,adult,0.5540899963,5.540899963
2025,Upper (above Dalles),45,adult,0.4813860522,4.813860522
2025,Lower (below Dalles),46,adult,0.0561879536,0.561879536
2025,Upper (above Dalles),46,adult,0.1517475083,1.517475083
2025,Lower (below Dalles),32,jack,0.08025266900000001,0.80252669
2025,Upper (above Dalles),32,jack,0,0
2025,Lower (below Dalles),33,jack,0.6384000518,6.384000518
2025,Upper (above Dalles),33,jack,0,0
2025,Lower (below Dalles),34,jack,0.4705937068,4.705937068
2025,Upper (above Dalles),34,jack,0,0
2025,Lower (below Dalles),35,jack,0.6201475346,6.201475346
2025,Upper (above Dalles),35,jack,0,0
2025,Lower (below Dalles),36,jack,0.5540588191,5.540588191
2025,Upper (above Dalles),36,jack,0,0
2025,Lower (below Dalles),37,jack,0.7602976651000001,7.6029766510000005
2025,Upper (above Dalles),37,jack,0.3066714983,3.0667149830000002
2025,Lower (below Dalles),38,jack,0.8460114874000001,8.460114874
2025,Upper (above Dalles),38,jack,0.3592679525,3.592679525
2025,Lower (below Dalles),39,jack,0.5876142475,5.876142475
2025,Upper (above Dalles),39,jack,0.2417801474,2.417801474
2025,Lower (below Dalles),40,jack,0.6690058736,6.690058736
2025,Upper (above Dalles),40,jack,0.270108055,2.70108055
2025,Lower (below Dalles),41,jack,0.43595773,4.3595773
2025,Upper (above Dalles),41,jack,0.1990254507,1.990254507
2025,Lower (below Dalles),42,jack,0.22454977140000001,2.245497714
2025,Upper (above Dalles),42,jack,0.13760937980000001,1.376093798
2025,Lower (below Dalles),43,jack,0.054815960600000005,0.548159606
2025,Upper (above Dalles),43,jack,0.0565974065,0.565974065
2025,Lower (below Dalles),44,jack,0.12960747620000002,1.296074762
2025,Upper (above Dalles),44,jack,0.16179031510000003,1.6179031510000002
2025,Lower (below Dalles),45,jack,0.1701134628,1.701134628
2025,Upper (above Dalles),45,jack,0.09684055700000001,0.9684055699999999
2025,Lower (below Dalles),46,jack,0.011126734700000002,0.111267347
2025,Upper (above Dalles),46,jack,0.020413615700000002,0.204136157
2026,Lower (below Dalles),32,adult,1.6629622063,16.629622063
2026,Lower (below Dalles),33,adult,4.6802173192000005,46.802173192
2026,Lower (below Dalles),34,adult,5.3628058315,53.628058315
2026,Lower (below Dalles),35,adult,10.5979005185,105.97900518499999
2026,Lower (below Dalles),32,jack,2.0878187997,20.878187997
2026,Lower (below Dalles),33,jack,10.2434845189,102.434845189
2026,Lower (below Dalles),34,jack,10.6827877295,106.827877295
2026,Lower (below Dalles),35,jack,15.3090955085,153.090955085
